,cntry,idno,netustm,lvpntyr,ppltrst,vote,prtvtdfi,gndr,yrbrn,edlvdfi,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
701,FI,27272,180.0,2004.0,8,1.0,1.0,1,1969,10.0,17.0,37.0,37.0,4900.0,,55.0
702,FI,27276,510.0,1989.0,9,1.0,10.0,2,1971,6.0,14.0,40.0,42.0,3000.0,4000.0,49.0
703,FI,27278,15.0,1986.0,5,1.0,4.0,1,1961,2.0,9.0,40.0,40.0,2200.0,4000.0,64.0
704,FI,27315,300.0,2002.0,7,1.0,10.0,2,1984,5.0,12.0,38.0,42.0,2560.0,2850.0,58.0
705,FI,27396,150.0,1979.0,8,1.0,10.0,2,1958,8.0,12.0,37.0,37.0,,,55.0
706,FI,27498,60.0,1977.0,5,1.0,,2,1961,5.0,14.0,38.0,38.0,2300.0,2400.0,54.0
707,FI,27531,120.0,2018.0,9,3.0,,1,1997,4.0,12.0,16.0,16.0,,,44.0
708,FI,27568,60.0,2001.0,7,1.0,1.0,2,1982,7.0,15.0,36.0,40.0,,,48.0
709,FI,27575,150.0,2005.0,8,1.0,2.0,1,1985,4.0,15.0,40.0,50.0,2500.0,3000.0,44.0
710,FI,27663,,1967.0,7,1.0,1.0,1,1951,8.0,10.0,38.0,43.0,,,51.0
711,FI,27681,360.0,2006.0,6,2.0,,1,1985,12.0,18.0,38.0,38.0,3325.0,,46.0
712,FI,27724,180.0,1988.0,10,1.0,,2,1970,8.0,12.0,38.0,40.0,3097.0,3600.0,55.0
713,FI,27750,120.0,1972.0,8,1.0,1.0,1,1953,3.0,10.0,50.0,50.0,4600.0,,37.0
714,FI,27821,30.0,1974.0,8,1.0,3.0,2,1954,12.0,20.0,23.0,30.0,,,42.0
715,FI,27824,360.0,2005.0,9,1.0,3.0,1,1985,9.0,16.0,38.0,42.0,4100.0,,43.0
716,FI,27844,,1959.0,1,2.0,,1,1937,2.0,6.0,40.0,40.0,,,135.0
717,FI,27848,180.0,1972.0,7,1.0,11.0,2,1953,10.0,18.0,1.0,1.0,,,59.0
718,FI,27915,240.0,2006.0,8,2.0,,1,1984,9.0,15.0,34.0,34.0,4900.0,,72.0
719,FI,27942,60.0,1966.0,8,1.0,1.0,1,1948,3.0,7.0,38.0,38.0,,,79.0
720,FI,28001,,1960.0,5,1.0,4.0,1,1946,5.0,11.0,40.0,50.0,,,92.0
721,FI,28015,45.0,1959.0,5,1.0,11.0,1,1936,5.0,10.0,48.0,48.0,,,57.0
722,FI,28020,240.0,1981.0,7,1.0,3.0,1,1960,8.0,14.0,50.0,50.0,2600.0,,40.0
723,FI,28078,120.0,1984.0,6,1.0,11.0,2,1966,8.0,12.0,38.0,38.0,3000.0,4000.0,46.0
724,FI,28179,30.0,1996.0,8,2.0,,2,1978,8.0,16.0,38.0,38.0,2300.0,2800.0,65.0
725,FI,28236,300.0,0.0,7,3.0,,1,2002,1.0,8.0,30.0,30.0,,,46.0
726,FI,28272,540.0,2009.0,8,2.0,,1,1993,4.0,18.0,38.0,38.0,3700.0,4100.0,71.0
727,FI,28279,,1966.0,8,2.0,,2,1948,5.0,8.0,40.0,40.0,,,40.0
728,FI,28281,90.0,1965.0,5,1.0,12.0,2,1946,2.0,8.0,,78.0,,,67.0
729,FI,28315,240.0,0.0,7,3.0,,2,2001,3.0,10.0,30.0,30.0,,,43.0
730,FI,28384,180.0,1986.0,7,1.0,10.0,2,1964,12.0,18.0,38.0,39.0,4400.0,,57.0
731,FI,28395,240.0,0.0,9,1.0,3.0,1,1969,5.0,12.0,38.0,38.0,1800.0,2500.0,46.0
732,FI,28408,150.0,2013.0,7,2.0,,2,1995,5.0,14.0,35.0,38.0,1799.0,2500.0,53.0
733,FI,28415,120.0,1991.0,8,1.0,10.0,2,1970,12.0,26.0,25.0,35.0,3200.0,,48.0
734,FI,28441,120.0,2001.0,5,1.0,1.0,2,1982,12.0,20.0,38.0,45.0,,,43.0
735,FI,28449,240.0,2015.0,7,2.0,,2,1996,4.0,15.0,,1.0,,,44.0
736,FI,28474,270.0,1990.0,6,1.0,4.0,1,1970,9.0,16.0,50.0,50.0,54000.0,,64.0
